,inner_label,inner_area,inner_centroid-0,inner_centroid-1,inner_axis_major_length,inner_axis_minor_length,inner_eccentricity,inner_orientation,inner_slice,outer_label,outer_area,outer_centroid-0,outer_centroid-1,outer_axis_major_length,outer_axis_minor_length,outer_eccentricity,outer_orientation,outer_slice,file,gratio,orientation_mean_deg,eccentricity_mean
19,21,0.58665072,259.2415532022189,192.6732223903177,0.9524313972210612,0.7888430454863731,0.5603715751220502,1.3783417569818748,"(slice(236, 282, None), slice(165, 221, None))",21,0.6549897599999999,259.56323396567296,196.39566395663957,1.720652595901004,1.3465106693023838,0.6225775300521191,1.3412255943235911,"(slice(228, 292, None), slice(156, 236, None))",Sample_Data_SWM.ome.tif,0.5858424024928568,77.90986566568765,0.5914745525870846
20,22,0.13224048,281.7762863534676,529.2818791946308,0.43785243801434026,0.38491849021294106,0.47662721779892936,-0.9911182268900934,"(slice(270, 294, None), slice(517, 542, None))",22,0.24022207999999998,282.0628078817734,527.7733990147783,0.8368510969093114,0.7658863641429229,0.40299929839952975,-1.0443291960577306,"(slice(263, 302, None), slice(508, 549, None))",Sample_Data_SWM.ome.tif,0.5025791138659194,-58.31127337784507,0.43981325809922955
21,23,0.08579359999999998,285.0,144.5,0.34284319398578417,0.3187611256633683,0.3681718041762459,-0.5368489932883325,"(slice(275, 296, None), slice(135, 155, None))",23,0.07603088,283.46692607003894,145.91050583657588,0.607362427157672,0.5162139662802356,0.5268998207845391,1.078600426019006,"(slice(272, 298, None), slice(131, 159, None))",Sample_Data_SWM.ome.tif,0.6174980656961213,15.520035320316563,0.44753581248039254
22,24,1.1304046399999998,282.8455901596441,695.1585972258571,1.873500275926157,0.7789305309603669,0.9094733762481814,0.9855833405818807,"(slice(246, 323, None), slice(648, 740, None))",24,0.7990638399999999,284.6071825249907,697.7341725286931,2.9439406191282695,1.3582522256553404,0.8872067037689062,0.8895297985334125,"(slice(236, 340, None), slice(638, 753, None))",Sample_Data_SWM.ome.tif,0.5734800328300896,53.718034490416755,0.8983400400085437
23,25,0.25442239999999994,285.66511627906976,785.5023255813953,0.620971132250079,0.522995114424652,0.5391319702969894,0.7751694419212113,"(slice(268, 303, None), slice(769, 804, None))",25,1.0514153599999998,286.939223410242,790.3069780528981,1.4497709303709907,1.3646797933041128,0.3375511569273585,1.0022072339823147,"(slice(249, 324, None), slice(750, 827, None))",Sample_Data_SWM.ome.tif,0.38323650499608797,50.9180910671318,0.43834156361217397
24,26,0.40204655999999994,297.8167770419426,263.10228108903607,0.8489822153617012,0.6119843010331357,0.6930966514456607,0.7562869065558017,"(slice(275, 321, None), slice(242, 287, None))",26,0.24495551999999995,298.0024154589372,265.7512077294686,1.3198245934162463,1.0158854284061614,0.6383907393646695,0.8173276500529778,"(slice(270, 325, None), slice(238, 294, None))",Sample_Data_SWM.ome.tif,0.6024146856730562,45.08073633701672,0.6657436954051651
25,27,0.9641425599999999,321.1478981282602,456.5492482356551,1.3875494731034272,0.890948348786546,0.7666191811023835,0.5026035322584044,"(slice(283, 362, None), slice(425, 488, None))",27,1.9105347199999998,323.92412511613503,456.3499535459895,2.567772965231986,1.9020046320245168,0.6718122248529538,0.5048376287044868,"(slice(262, 386, None), slice(403, 510, None))",Sample_Data_SWM.ome.tif,0.4684259616330218,28.86106331546674,0.7192157029776687
26,28,0.12395695999999998,338.3484486873508,707.3747016706444,0.4259004684488537,0.3717429106964944,0.4880067176698576,1.1742562898096738,"(slice(327, 351, None), slice(695, 721, None))",28,0.12632368,338.6861826697892,707.7025761124122,0.7518201309564064,0.6348889157009692,0.5356041775609622,0.8712508743905323,"(slice(323, 355, None), slice(692, 726, None))",Sample_Data_SWM.ome.tif,0.5855243358376478,58.599463736222646,0.5118054476154099
27,29,0.6801361599999999,378.3371030882993,202.080469769465,1.1050990617047483,0.7882658851529546,0.7008600121652677,0.38181298670627045,"(slice(347, 410, None), slice(179, 228, None))",29,0.8002471999999999,376.50055452865064,202.73900184842884,1.9007913658052744,1.4485605312472938,0.6474795021690043,0.3811715850125404,"(slice(333, 422, None), slice(168, 240, None))",Sample_Data_SWM.ome.tif,0.5441718645158807,21.857897896542266,0.674169757167136
28,30,0.29051488,382.8564154786151,406.6700610997963,0.677692484462319,0.5479786560179402,0.5883658393567929,0.7003142895010603,"(slice(365, 402, None), slice(390, 426, None))",30,0.5529249599999999,379.6238630283574,405.0968432316747,1.4429778836011145,1.0549789822992233,0.6822570633161555,0.43731340987649164,"(slice(344, 414, None), slice(379, 436, None))",Sample_Data_SWM.ome.tif,0.5194213962667525,32.59063291575566,0.6353114513364742
29,31,0.29199407999999993,391.4113475177305,531.5542046605876,0.899095418306701,0.4145730149692347,0.8873481106027329,0.366642088888817,"(slice(367, 417, None), slice(517, 548, None))",31,0.20886303999999997,390.75779036827197,530.7011331444759,1.3685999117615808,0.7424035547727926,0.8400850070103049,0.3776449813910031,"(slice(361, 422, None), slice(512, 551, None))",Sample_Data_SWM.ome.tif,0.5584200295163079,21.32225393659529,0.8637165588065189
